"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"21",-1.90686946161612e-312,-1.85319242091388e-312,-1.85422836676218e-312,-1.91330214494214e-312,-1.85319242091388e-312,-1.85422836676218e-312,-1.91330214494214e-312,-1.90686946161612e-312,-1.85422836676218e-312,-1.91330214494214e-312,-1.90686946161612e-312,-1.85319242091388e-312
"22",-5.18656833818007e-312,-5.03285662269456e-312,-5.07052082852445e-312,-5.20026656095524e-312,-5.03285662269456e-312,-5.07052082852445e-312,-5.20026656095524e-312,-5.18656833818007e-312,-5.07052082852445e-312,-5.20026656095524e-312,-5.18656833818007e-312,-5.03285662269456e-312
"23",-1.42021343826372e-311,-1.37752812204057e-311,-1.37361125881131e-311,-1.42530542109375e-311,-1.37752812204057e-311,-1.37361125881131e-311,-1.42530542109375e-311,-1.42021343826372e-311,-1.37361125881131e-311,-1.42530542109375e-311,-1.42021343826372e-311,-1.37752812204057e-311
"24",-3.85240592099543e-311,-3.76840322432888e-311,-3.74828358584187e-311,-3.86849806447248e-311,-3.76840322432888e-311,-3.74828358584187e-311,-3.86849806447248e-311,-3.85240592099543e-311,-3.74828358584187e-311,-3.86849806447248e-311,-3.85240592099543e-311,-3.76840322432888e-311
"25",-1.04365513286013e-310,-1.01616526774745e-310,-1.03235234400858e-310,-1.04010171156354e-310,-1.01616526774745e-310,-1.03235234400858e-310,-1.04010171156354e-310,-1.04365513286013e-310,-1.03235234400858e-310,-1.04010171156354e-310,-1.04365513286013e-310,-1.01616526774745e-310
"26",-2.84560017086122e-310,-2.77038586892618e-310,-2.78638791024418e-310,-2.84275362042828e-310,-2.77038586892618e-310,-2.78638791024418e-310,-2.84275362042828e-310,-2.84560017086122e-310,-2.78638791024418e-310,-2.84275362042828e-310,-2.84560017086122e-310,-2.77038586892618e-310
"27",-7.69657370861905e-310,-7.46047277463358e-310,-7.41823717784667e-310,-7.65627822507457e-310,-7.46047277463358e-310,-7.41823717784667e-310,-7.65627822507457e-310,-7.69657370861905e-310,-7.41823717784667e-310,-7.65627822507457e-310,-7.69657370861905e-310,-7.46047277463358e-310
"28",0,0,0,0,0,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0
"31",-4.23e-308,-4.12e-308,-4.1e-308,-4.22e-308,-4.12e-308,-4.1e-308,-4.22e-308,-4.23e-308,-4.1e-308,-4.22e-308,-4.23e-308,-4.12e-308
